NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARKS
BUHARI MUHAMMADU,M,APC,"15,191,847",ELECTED
ABUBAKAR ATIKU,M,PDP,"11,262,978",
FELIX NICOLAS,M,PCP,"110,196",
MAILAFIA OBADIAH,M,ADC,"97,874",
GBOR JOHN WILSON TERWASE,M,APGA,"66,851",
YABAGI SANI YUSUF,M,ADP,"54,930",
AKHIMIEN DAVIDSON ISIBOR,M,GDPN,"41,852",
IBRAHIM ALIYU HASSAN,M,APA,"36,866",
DONALD DUKE,M,SDP,"34,746",
OMOYELE SOWORE,M,AAC,"33,953",
DA-SILVA THOMAS AYO,M,SNC,"28,680",
SHITU MOHAMMED KABIR,M,APDA,"26,558",
YUSUF MAMMAN DANTALLE,M,APM,"26,039",
MOGHALU KINGSLEY BOSAH CHIEDU,M,YPP,"21,886",
AMEH PETER OJONUGWA,M,PPA,"21,822",
OSITELU ISAAC BABATUNDE,M,A,"19,219",
DUROTOYE ADETOKUNBO OLUFELA,M,ANN,"16,779",
BASHAYI ISA DANSARKI,M,MMN,"14,540",
OSAKWE FELIX JOHNSON,M,DPP,"14,483",
ABDULRASHID HASSAN BABA,M,AA,"14,380",
NWOKEAFOR IKECHUKWU NDUBUISI,M,ACD,"11,325",
MAINA MAIMUNA KYARI,F,NPC,"10,081",
VICTOR OKHAI,M,PPC,"8,979",
CHIKE UKAEGBU,M,AAP,"8,902",
EZEKWESILI OBIAGELI KATRYN,F,ACPN,"7,223",
IBRAHIM USMAN ALHAJI,M,NRM,"6,229",
IKE KEKE,M,NNPP,"6,111",
MOSES AYIBIOWU,M,NUP,"5,323",
AWOSOLA WILLIAMS OLUSOLA,M,DPC,"5,242",
MUHAMMED USMAN ZAKI,M,LP,"5,074",
EKE SAMUEL CHUKWUMA,M,GPN,"4,924",
NWACHUKWU CHUKS NWABUIKWU,M,AGA,"4,689",
MAJOR HAMZA AL MUSTAFA AL,M,PPN,"4,622",
OKOTIE CHRISTOPHER OGHENEBRORIE,M,FRESH,"4,554",
SHIPI MOSES GODIA,M,ABP,"4,523",
FASUA TOPE KOLADE,M,ANRP,"4,340",
REV. (DR) ONWUBUYA,M,FJP,"4,174",
DR ASUKWO MENDIE ARCHIBONG,M,NFD,"4,096",
AHMED BUHARI,M,SNP,"3,941",
SALISU YUNUSA TANKO,M,NCP,"3,799",
SHITTU MOSHOOD ASIWAJU,M,ANP,"3,586",
OBINNA UCHECHUKWU IKEAGWUONU,M,APP,"3,585",
BALOGUN ISIAKA ISHOLA,M,UDP,"3,170",
OBAJE YUSUFU AMEH,M,ANDP,"3,104",
CHIEF UMENWA GODWIN,M,AGAP,"3,071",
ISRAEL NONYEREM DAVIDSON DR.,M,RAP,"2,972",
UKONGA FRANK,M,DA,"2,769",
SANTURAKI HAMISU,M,MPN,"2,752",
ADESANYA-DAVIES MERCY OLUFUNMILAYO,F,MAJA,"2,651",
GBENGA OLAWEPO-HASHIM,M,PT,"2,613",
ALI SOYODE M,M,YES,"2,394",
OJINIKA GEFF CHIZEE,M,CC,"2,391",
NSEHE NSEOBONG,M,RP,"2,388",
RABIA YASAI HASSAN CENGIZ,F,NAC,"2,279",
ATUEJIDE EUNICE UCHE JULIAN,F,NIP,"2,248",
DARA JOHN,M,ASD,"2,146",
FAGBENRO-BYRON SAMUEL ADESINA,M,KP,"1,911",
ETIM EMMANUEL ISHIE,M,CNP,"1,874",
CHUKWU-EGUZOLUGO SUNDAY CHIKENDU,M,JMPP,"1,853",
MADU NNAMDI EDOZIE,M,ID,"1,845",
OSUALA CHUKWUDI JOHN KENNEDY,M,RBNP,"1,792",
ALBERT OWURU AMBROSE,M,HDP,"1,663",
DAVID ESOSA IZE-IYAMU,M,BNPP,"1,649",
INWA AHMED SAKIL,M,UPN,"1,631",
AKPUA ROBINSON,M,NDLP,"1,588",
MARK EMMANUEL AUDU,M,UP,"1,561",
COM. ISHAKA PAUL OFEMILE,M,NEPP,"1,524",
KRIZ DAVID,M,LM,"1,438",
ADEMOLA BABATUNDE ABIDEMI,M,NCMP,"1,378",
A. EDOSOMWAN JOHNSON,M,NDCP,"1,192",
ABAH LEWIS ELAIGWU,M,CAP,"1,111",
ANGELA JOHNSON,F,AUN,"1,092",
NWANGWU UCHENNA PETER,M,WTPN,732,